name,Constructor,fullname,position
Chinese Grand Prix,Williams,Pastor Maldonado,13
European Grand Prix,Caterham,Heikki Kovalainen,16
European Grand Prix,Caterham,Vitaly Petrov,20
European Grand Prix,Ferrari,Felipe Massa,13
European Grand Prix,Ferrari,Fernando Alonso,11
European Grand Prix,Force India,Nico Hulkenberg,8
European Grand Prix,Force India,Paul di Resta,10
European Grand Prix,HRT,Narain Karthikeyan,22
European Grand Prix,HRT,Pedro de la Rosa,21
European Grand Prix,Lotus F1,Kimi Raikkonen,5
European Grand Prix,Lotus F1,Romain Grosjean,4
European Grand Prix,Marussia,Charles Pic,23
European Grand Prix,McLaren,Jenson Button,9
European Grand Prix,McLaren,Lewis Hamilton,2
European Grand Prix,Mercedes,Michael Schumacher,12
European Grand Prix,Mercedes,Nico Rosberg,6
European Grand Prix,Red Bull,Mark Webber,19
European Grand Prix,Red Bull,Sebastian Vettel,1
European Grand Prix,Sauber,Kamui Kobayashi,7
European Grand Prix,Sauber,Sergio Perez,15
European Grand Prix,Toro Rosso,Daniel Ricciardo,17
European Grand Prix,Toro Rosso,Jean-eric Vergne,18
European Grand Prix,Williams,Bruno Senna,14
European Grand Prix,Williams,Pastor Maldonado,3
German Grand Prix,Caterham,Heikki Kovalainen,19
German Grand Prix,Caterham,Vitaly Petrov,20
German Grand Prix,Ferrari,Felipe Massa,14
German Grand Prix,Ferrari,Fernando Alonso,1
German Grand Prix,Force India,Nico Hulkenberg,5
German Grand Prix,Force India,Paul di Resta,9
German Grand Prix,HRT,Narain Karthikeyan,24
German Grand Prix,HRT,Pedro de la Rosa,23
German Grand Prix,Lotus F1,Kimi Raikkonen,10
German Grand Prix,Lotus F1,Romain Grosjean,15
German Grand Prix,Marussia,Charles Pic,21
German Grand Prix,Marussia,Timo Glock,22
German Grand Prix,McLaren,Jenson Button,7
German Grand Prix,McLaren,Lewis Hamilton,8
German Grand Prix,Mercedes,Michael Schumacher,4
German Grand Prix,Mercedes,Nico Rosberg,17
German Grand Prix,Red Bull,Mark Webber,3
German Grand Prix,Red Bull,Sebastian Vettel,2
German Grand Prix,Sauber,Kamui Kobayashi,13
German Grand Prix,Sauber,Sergio Perez,12
German Grand Prix,Toro Rosso,Daniel Ricciardo,11
German Grand Prix,Toro Rosso,Jean-eric Vergne,18
German Grand Prix,Williams,Bruno Senna,16
German Grand Prix,Williams,Pastor Maldonado,6
Hungarian Grand Prix,Caterham,Heikki Kovalainen,19
Hungarian Grand Prix,Caterham,Vitaly Petrov,20
Hungarian Grand Prix,Ferrari,Felipe Massa,7
Hungarian Grand Prix,Ferrari,Fernando Alonso,6
Hungarian Grand Prix,Force India,Nico Hulkenberg,10
Hungarian Grand Prix,Force India,Paul di Resta,12
Hungarian Grand Prix,HRT,Narain Karthikeyan,24
Hungarian Grand Prix,HRT,Pedro de la Rosa,23
Hungarian Grand Prix,Lotus F1,Kimi Raikkonen,5
Hungarian Grand Prix,Lotus F1,Romain Grosjean,2
Hungarian Grand Prix,Marussia,Charles Pic,21
Hungarian Grand Prix,Marussia,Timo Glock,22
Hungarian Grand Prix,McLaren,Jenson Button,4
Hungarian Grand Prix,McLaren,Lewis Hamilton,1
Hungarian Grand Prix,Mercedes,Michael Schumacher,17
Hungarian Grand Prix,Mercedes,Nico Rosberg,13
Hungarian Grand Prix,Red Bull,Mark Webber,11
Hungarian Grand Prix,Red Bull,Sebastian Vettel,3
Hungarian Grand Prix,Sauber,Kamui Kobayashi,15
Hungarian Grand Prix,Sauber,Sergio Perez,14
Hungarian Grand Prix,Toro Rosso,Daniel Ricciardo,18
Hungarian Grand Prix,Toro Rosso,Jean-eric Vergne,16
Hungarian Grand Prix,Williams,Bruno Senna,9
Hungarian Grand Prix,Williams,Pastor Maldonado,8
Indian Grand Prix,Caterham,Heikki Kovalainen,20
Indian Grand Prix,Caterham,Vitaly Petrov,19
Indian Grand Prix,Ferrari,Felipe Massa,6
Indian Grand Prix,Ferrari,Fernando Alonso,5
Indian Grand Prix,Force India,Nico Hulkenberg,12
Indian Grand Prix,Force India,Paul di Resta,16
Indian Grand Prix,HRT,Narain Karthikeyan,23
Indian Grand Prix,HRT,Pedro de la Rosa,22
Indian Grand Prix,Lotus F1,Kimi Raikkonen,7
Indian Grand Prix,Lotus F1,Romain Grosjean,11
Indian Grand Prix,Marussia,Charles Pic,24
Indian Grand Prix,Marussia,Timo Glock,21
Indian Grand Prix,McLaren,Jenson Button,4
Indian Grand Prix,McLaren,Lewis Hamilton,3
Indian Grand Prix,Mercedes,Michael Schumacher,14
Indian Grand Prix,Mercedes,Nico Rosberg,10
Indian Grand Prix,Red Bull,Mark Webber,2
Indian Grand Prix,Red Bull,Sebastian Vettel,1
Indian Grand Prix,Sauber,Kamui Kobayashi,17
Indian Grand Prix,Sauber,Sergio Perez,8
Indian Grand Prix,Toro Rosso,Daniel Ricciardo,15
