raceId,year,name,forename,surname,q3,name,position
872,2012,"Italian Grand Prix",Michael,Schumacher,1:24.540,Mercedes,5
872,2012,"Italian Grand Prix",Sebastian,Vettel,1:24.802,"Red Bull",6
872,2012,"Italian Grand Prix",Nico,Rosberg,1:24.833,Mercedes,7
872,2012,"Italian Grand Prix",Kimi,Raikkonen,1:24.855,"Lotus F1",8
872,2012,"Italian Grand Prix",Kamui,Kobayashi,1:25.109,Sauber,9
872,2012,"Italian Grand Prix",Fernando,Alonso,1:25.678,Ferrari,10
872,2012,"Italian Grand Prix",Mark,Webber,\N,"Red Bull",11
872,2012,"Italian Grand Prix",Pastor,Maldonado,\N,Williams,12
872,2012,"Italian Grand Prix",Sergio,Perez,\N,Sauber,13
872,2012,"Italian Grand Prix",Bruno,Senna,\N,Williams,14
872,2012,"Italian Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",15
872,2012,"Italian Grand Prix",Jerome,d'Ambrosio,\N,"Lotus F1",16
872,2012,"Italian Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",17
872,2012,"Italian Grand Prix",Heikki,Kovalainen,\N,Caterham,18
872,2012,"Italian Grand Prix",Vitaly,Petrov,\N,Caterham,19
872,2012,"Italian Grand Prix",Timo,Glock,\N,Marussia,20
872,2012,"Italian Grand Prix",Charles,Pic,\N,Marussia,21
872,2012,"Italian Grand Prix",Narain,Karthikeyan,\N,HRT,22
872,2012,"Italian Grand Prix",Pedro,"de la Rosa",\N,HRT,23
873,2012,"Singapore Grand Prix",Lewis,Hamilton,1:46.362,McLaren,1
873,2012,"Singapore Grand Prix",Pastor,Maldonado,1:46.804,Williams,2
873,2012,"Singapore Grand Prix",Sebastian,Vettel,1:46.905,"Red Bull",3
873,2012,"Singapore Grand Prix",Jenson,Button,1:46.939,McLaren,4
873,2012,"Singapore Grand Prix",Fernando,Alonso,1:47.216,Ferrari,5
873,2012,"Singapore Grand Prix",Paul,"di Resta",1:47.241,"Force India",6
873,2012,"Singapore Grand Prix",Mark,Webber,1:47.475,"Red Bull",7
873,2012,"Singapore Grand Prix",Romain,Grosjean,1:47.788,"Lotus F1",8
873,2012,"Singapore Grand Prix",Michael,Schumacher,\N,Mercedes,9
873,2012,"Singapore Grand Prix",Nico,Rosberg,\N,Mercedes,10
873,2012,"Singapore Grand Prix",Nico,Hulkenberg,\N,"Force India",11
873,2012,"Singapore Grand Prix",Kimi,Raikkonen,\N,"Lotus F1",12
873,2012,"Singapore Grand Prix",Felipe,Massa,\N,Ferrari,13
873,2012,"Singapore Grand Prix",Sergio,Perez,\N,Sauber,14
873,2012,"Singapore Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",15
873,2012,"Singapore Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",16
873,2012,"Singapore Grand Prix",Bruno,Senna,\N,Williams,17
873,2012,"Singapore Grand Prix",Kamui,Kobayashi,\N,Sauber,18
873,2012,"Singapore Grand Prix",Vitaly,Petrov,\N,Caterham,19
873,2012,"Singapore Grand Prix",Heikki,Kovalainen,\N,Caterham,20
873,2012,"Singapore Grand Prix",Timo,Glock,\N,Marussia,21
873,2012,"Singapore Grand Prix",Charles,Pic,\N,Marussia,22
873,2012,"Singapore Grand Prix",Narain,Karthikeyan,\N,HRT,23
873,2012,"Singapore Grand Prix",Pedro,"de la Rosa",\N,HRT,24
874,2012,"Japanese Grand Prix",Sebastian,Vettel,1:30.839,"Red Bull",1
874,2012,"Japanese Grand Prix",Mark,Webber,1:31.090,"Red Bull",2
874,2012,"Japanese Grand Prix",Jenson,Button,1:31.290,McLaren,3
