raceId,year,name,forename,surname,name,finishingPosition,points
43,2007,"French Grand Prix",Heikki,Kovalainen,Renault,15,0
43,2007,"French Grand Prix",Takuma,Sato,"Super Aguri",16,0
43,2007,"French Grand Prix",Adrian,Sutil,Spyker,17,0
43,2007,"French Grand Prix",Scott,Speed,"Toro Rosso",18,0
43,2007,"French Grand Prix",Christijan,Albers,Spyker,19,0
43,2007,"French Grand Prix",Anthony,Davidson,"Super Aguri",20,0
43,2007,"French Grand Prix",Jarno,Trulli,Toyota,21,0
43,2007,"French Grand Prix",Vitantonio,Liuzzi,"Toro Rosso",22,0
44,2007,"British Grand Prix",Kimi,Raikkonen,Ferrari,1,10
44,2007,"British Grand Prix",Fernando,Alonso,McLaren,2,8
44,2007,"British Grand Prix",Lewis,Hamilton,McLaren,3,6
44,2007,"British Grand Prix",Robert,Kubica,"BMW Sauber",4,5
44,2007,"British Grand Prix",Felipe,Massa,Ferrari,5,4
44,2007,"British Grand Prix",Nick,Heidfeld,"BMW Sauber",6,3
44,2007,"British Grand Prix",Heikki,Kovalainen,Renault,7,2
44,2007,"British Grand Prix",Giancarlo,Fisichella,Renault,8,1
44,2007,"British Grand Prix",Rubens,Barrichello,Honda,9,0
44,2007,"British Grand Prix",Jenson,Button,Honda,10,0
44,2007,"British Grand Prix",David,Coulthard,"Red Bull",11,0
44,2007,"British Grand Prix",Nico,Rosberg,Williams,12,0
44,2007,"British Grand Prix",Alexander,Wurz,Williams,13,0
44,2007,"British Grand Prix",Takuma,Sato,"Super Aguri",14,0
44,2007,"British Grand Prix",Christijan,Albers,Spyker,15,0
44,2007,"British Grand Prix",Vitantonio,Liuzzi,"Toro Rosso",16,0
44,2007,"British Grand Prix",Jarno,Trulli,Toyota,17,0
44,2007,"British Grand Prix",Anthony,Davidson,"Super Aguri",18,0
44,2007,"British Grand Prix",Scott,Speed,"Toro Rosso",19,0
44,2007,"British Grand Prix",Ralf,Schumacher,Toyota,20,0
44,2007,"British Grand Prix",Adrian,Sutil,Spyker,21,0
44,2007,"British Grand Prix",Mark,Webber,"Red Bull",22,0
45,2007,"European Grand Prix",Fernando,Alonso,McLaren,1,10
45,2007,"European Grand Prix",Felipe,Massa,Ferrari,2,8
45,2007,"European Grand Prix",Mark,Webber,"Red Bull",3,6
45,2007,"European Grand Prix",Alexander,Wurz,Williams,4,5
45,2007,"European Grand Prix",David,Coulthard,"Red Bull",5,4
45,2007,"European Grand Prix",Nick,Heidfeld,"BMW Sauber",6,3
45,2007,"European Grand Prix",Robert,Kubica,"BMW Sauber",7,2
45,2007,"European Grand Prix",Heikki,Kovalainen,Renault,8,1
45,2007,"European Grand Prix",Lewis,Hamilton,McLaren,9,0
45,2007,"European Grand Prix",Giancarlo,Fisichella,Renault,10,0
45,2007,"European Grand Prix",Rubens,Barrichello,Honda,11,0
45,2007,"European Grand Prix",Anthony,Davidson,"Super Aguri",12,0
45,2007,"European Grand Prix",Jarno,Trulli,Toyota,13,0
45,2007,"European Grand Prix",Kimi,Raikkonen,Ferrari,14,0
45,2007,"European Grand Prix",Takuma,Sato,"Super Aguri",15,0
45,2007,"European Grand Prix",Ralf,Schumacher,Toyota,16,0
45,2007,"European Grand Prix",Markus,Winkelhock,Spyker,17,0
45,2007,"European Grand Prix",Jenson,Button,Honda,18,0
45,2007,"European Grand Prix",Adrian,Sutil,Spyker,19,0
45,2007,"European Grand Prix",Nico,Rosberg,Williams,20,0
45,2007,"European Grand Prix",Scott,Speed,"Toro Rosso",21,0
45,2007,"European Grand Prix",Vitantonio,Liuzzi,"Toro Rosso",22,0
46,2007,"Hungarian Grand Prix",Lewis,Hamilton,McLaren,1,10
46,2007,"Hungarian Grand Prix",Kimi,Raikkonen,Ferrari,2,8
46,2007,"Hungarian Grand Prix",Nick,Heidfeld,"BMW Sauber",3,6
46,2007,"Hungarian Grand Prix",Fernando,Alonso,McLaren,4,5
46,2007,"Hungarian Grand Prix",Robert,Kubica,"BMW Sauber",5,4
46,2007,"Hungarian Grand Prix",Ralf,Schumacher,Toyota,6,3
46,2007,"Hungarian Grand Prix",Nico,Rosberg,Williams,7,2
46,2007,"Hungarian Grand Prix",Heikki,Kovalainen,Renault,8,1
46,2007,"Hungarian Grand Prix",Mark,Webber,"Red Bull",9,0
46,2007,"Hungarian Grand Prix",Jarno,Trulli,Toyota,10,0
